2020 National Employment Matrix title,2020 National Employment Matrix code,"Occupation
type","Employment, 2020","Employment, 2030","Employment change, 2020-30","Percent employment change, 2020-30","Labor force exit rate, 2020-30 annual average","Occupational transfer rate, 2020-30 annual average","Total occupational separations rate, 2020-30 annual average","Labor force exits, 2020-30 annual average","Occupational transfers, 2020-30 annual average","Total occupational separations, 2020-30 annual average","Occupational openings, 2020-30 annual average"
Computer and information systems managers,11-3021,Line item,482.0,534.6,52.7,10.9,1.6,5.7,7.3,8.3,28.9,37.1,42.4
Computer and mathematical occupations,15-0000,Summary,5225.0,5959.9,734.9,14.1,2.1,4.9,7.0,116.7,276.2,392.9,466.4
Computer systems analysts,15-1211,Line item,607.8,650.6,42.8,7.0,2.0,4.9,6.9,12.3,31.0,43.2,47.5
Computer and information research scientists,15-1221,Line item,33.0,40.2,7.2,21.9,1.8,5.0,6.8,0.6,1.8,2.5,3.2
Computer network support specialists,15-1231,Line item,189.8,204.0,14.2,7.5,1.9,5.3,7.2,3.7,10.4,14.1,15.5
Computer network architects,15-1241,Line item,165.2,174.2,9.0,5.5,1.4,4.5,5.9,2.3,7.7,10.1,11.0
Database administrators and architects,15-1245,Line item,168.0,181.2,13.2,7.8,2.3,4.9,7.2,4.0,8.6,12.6,13.9
Computer programmers,15-1251,Line item,185.7,167.3,-18.3,-9.9,2.0,4.6,6.6,3.5,8.1,11.6,9.7
"Data scientists and mathematical science occupations, all other",15-2098,Line item,63.2,83.0,19.8,31.4,2.0,5.0,7.0,1.5,3.7,5.1,7.1
Computer numerically controlled tool operators,51-9161,Line item,158.4,154.5,-3.9,-2.5,3.4,7.4,10.8,5.4,11.6,16.9,16.5
Computer numerically controlled tool programmers,51-9162,Line item,27.1,34.5,7.4,27.4,3.4,7.4,10.8,1.1,2.3,3.3,4.1
