2020 National Employment Matrix title,2020 National Employment Matrix code,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Computer and information systems managers,11-3021,Bachelor's degree,5 years or more,None
Computer systems analysts,15-1211,Bachelor's degree,None,None
Computer and information research scientists,15-1221,Master's degree,None,None
Computer network support specialists,15-1231,Associate's degree,None,None
Computer network architects,15-1241,Bachelor's degree,5 years or more,None
Database administrators and architects,15-1245,Bachelor's degree,None,None
Computer programmers,15-1251,Bachelor's degree,None,None
"Data scientists and mathematical science occupations, all other",15-2098,Bachelor's degree,None,None
Computer numerically controlled tool operators,51-9161,High school diploma or equivalent,None,Moderate-term on-the-job training
Computer numerically controlled tool programmers,51-9162,Postsecondary nondegree award,None,Moderate-term on-the-job training
